sigla_tribunal,id_orgao_julgador,servidores
TJAP,6165,8.00
TJAP,6166,8.00
TJAP,6167,8.00
TJAP,6171,8.00
TJAP,6172,8.00
TJAP,6174,0.00
TJAP,6176,0.00
TJAP,6177,7.00
TJAP,6179,6.00
TJAP,6396,8.00
TJAP,6398,7.00
TJAP,6399,16.00
TJAP,6400,0.00
TJAP,6401,10.00
TJAP,6402,8.00
TJAP,6403,0.00
TJAP,6404,11.00
TJAP,6406,9.00
TJAP,6407,8.00
TJAP,6409,6.00
TJAP,6410,8.00
TJAP,6411,7.00
TJAP,6412,6.00
TJAP,6413,11.00
TJAP,6414,11.00
TJAP,6415,6.00
TJAP,6416,9.00
TJAP,6417,10.00
TJAP,8728,0.00
TJAP,11689,0.00
TJAP,11711,0.00
TJAP,11712,10.00
TJAP,11713,0.00
TJAP,11714,5.00
TJAP,11715,0.00
TJAP,11716,0.00
TJAP,11717,0.00
TJAP,11718,0.00
TJAP,11719,0.00
TJAP,11720,0.00
TJAP,11721,0.00
TJAP,13396,8.00
TJAP,13605,8.00
TJAP,13697,10.00
TJAP,13703,8.00
TJAP,13716,6.00
TJAP,13717,0.00
TJAP,13718,8.00
TJAP,13719,7.00
TJAP,13720,13.00
TJAP,13721,8.00
TJAP,16037,11.00
TJAP,16268,0.00
TJAP,16272,5.00
TJAP,16273,8.00
TJAP,16274,0.00
TJAP,16275,16.00
TJAP,16276,8.00
TJAP,16409,9.00
TJAP,16480,0.00
TJAP,16481,9.00
TJAP,16482,12.00
TJAP,17060,0.00
TJAP,17061,0.00
TJAP,17062,0.00
TJAP,17064,0.00
TJAP,43864,0.00
TJAP,43865,15.00
TJAP,43866,0.00
TJAP,43867,0.00
TJAP,43868,11.00
TJAP,43869,1.00
TJAP,43870,0.00
TJAP,43871,0.00
TJAP,43872,0.00
TJAP,43873,0.00
TJAP,43874,0.00
TJAP,43875,0.00
TJAP,43876,0.00
TJAP,43877,1.00
TJAP,43878,7.00
TJAP,43879,4.00
TJAP,43880,0.00
TJAP,43881,27.00
TJAP,43882,10.00
TJAP,43883,0.00
TJAP,43884,297.00
TJAP,43885,24.00
TJAP,43886,97.00
TJAP,43887,0.00
TJAP,43888,6.00
TJAP,43889,1.00
TJAP,43890,3.00
TJAP,43891,3.00
TJAP,43892,4.00
TJAP,43893,1.00
TJAP,43894,1.00
TJAP,43895,4.00
TJAP,43896,5.00
TJAP,43897,2.00
TJAP,43898,1.00
TJAP,43899,1.00
TJAP,43900,1.00
TJAP,43901,1.00
TJAP,43902,6.00
TJAP,43903,9.00
TJAP,43904,0.00
TJAP,43905,0.00
TJAP,43906,0.00
TJAP,43907,0.00
TJAP,43908,0.00
TJAP,43909,0.00
TJAP,43910,0.00
TJAP,43911,0.00
TJAP,43912,0.00
TJAP,43913,0.00
TJAP,43914,0.00
TJAP,43915,0.00
TJAP,43916,0.00
TJAP,43917,0.00
TJAP,43918,0.00
TJAP,43919,0.00
TJAP,43920,0.00
TJAP,43921,0.00
TJAP,43922,0.00
TJAP,43923,1.00
TJAP,43924,0.00
TJAP,43925,0.00
TJAP,43926,5.00
TJAP,43927,0.00
TJAP,43928,0.00
TJAP,43929,5.00
TJAP,43930,0.00
TJAP,43931,4.00
TJAP,72995,0.00
TJAP,72996,0.00
TJAP,74367,0.00
TJAP,74423,26.00
TJAP,74424,21.00
TJAP,74425,14.00
TJAP,75532,0.00
TJAP,75533,8.00
TJAP,78603,6.00
TJAP,78764,0.00
TJAP,78836,0.00
TJAP,78837,0.00
TJAP,78838,0.00
TJAP,78839,0.00
TJAP,78840,0.00
TJAP,78841,0.00
TJAP,78842,0.00
TJAP,78843,0.00
TJAP,78844,0.00
TJAP,78845,0.00
TJAP,78846,0.00
TJAP,78847,1.00
TJAP,78848,0.00
TJAP,78849,1.00
TJAP,78850,0.00
TJAP,78851,0.00
TJAP,78852,0.00
TJAP,78853,4.00
TJAP,80045,0.00
TJAP,80855,33.00
TJAP,80856,0.00
TJAP,81380,16.00
TJAP,81381,0.00
TJAP,81382,0.00
TJAP,81383,0.00
TJAP,81384,1.00
TJBA,2885,0.00
TJBA,3384,0.00
TJBA,3385,0.00
TJBA,3760,0.00
TJBA,3785,0.00
TJBA,3789,0.00
TJBA,3800,0.00
TJBA,3887,5.00
TJBA,3899,0.00
TJBA,3906,0.00
TJBA,3909,7.00
TJBA,3913,6.00
TJBA,3927,0.00
TJBA,3931,0.00
TJBA,3934,7.00
TJBA,3939,7.00
TJBA,3953,6.00
TJBA,3955,0.00
TJBA,3968,0.00
TJBA,3978,0.00
TJBA,3985,0.00
TJBA,3989,0.00
TJBA,4006,0.00
TJBA,4013,0.00
TJBA,4027,0.00
TJBA,4035,0.00
TJBA,4043,0.00
TJBA,4052,0.00
TJBA,4057,0.00
TJBA,4086,9.00
TJBA,4087,7.00
TJBA,4093,6.00
TJBA,4105,6.00
TJBA,4108,6.00
TJBA,4115,5.00
TJBA,4119,7.00
TJBA,4132,8.00
TJBA,4139,7.00
TJBA,4145,10.00
TJBA,4158,5.00
TJBA,4166,10.00
TJBA,4174,7.00
TJBA,4178,5.00
TJBA,4186,17.00
TJBA,4204,0.00
TJBA,4214,0.00
TJBA,4226,5.00
TJBA,4232,0.00
TJBA,4246,4.00
TJBA,4251,6.00
TJBA,4254,0.00
TJBA,4260,0.00
TJBA,4279,4.00
TJBA,4311,7.00
TJBA,4313,0.00
TJBA,4336,11.00
TJBA,4386,6.00
TJBA,4388,5.00
TJBA,4390,7.00
TJBA,4391,6.00
TJBA,4393,6.00
TJBA,4394,4.00
TJBA,4412,6.00
TJBA,4415,5.00
TJBA,4417,6.00
TJBA,4418,7.00
TJBA,4420,5.00
TJBA,4421,3.00
TJBA,4423,5.00
TJBA,4434,0.00
TJBA,4435,4.00
TJBA,4436,5.00
TJBA,4437,7.00
TJBA,4461,4.00
TJBA,4462,4.00
TJBA,4514,6.00
TJBA,4515,5.00
TJBA,4518,4.00
TJBA,4526,4.00
TJBA,4527,5.00
TJBA,4528,3.00
TJBA,4529,4.00
TJBA,4531,5.00
TJBA,4533,7.00
TJBA,4534,7.00
TJBA,4537,0.00
TJBA,4538,1.00
TJBA,4539,0.00
TJBA,4541,0.00
TJBA,4542,4.00
TJBA,4543,4.00
TJBA,4545,0.00
TJBA,4546,0.00
TJBA,4548,7.00
TJBA,4549,7.00
TJBA,4552,10.00
TJBA,4553,0.00
TJBA,4554,10.00
TJBA,4556,0.00
TJBA,4557,5.00
TJBA,4558,8.00
TJBA,4559,0.00
TJBA,4561,0.00
TJBA,4562,6.00
TJBA,4564,4.00
TJBA,4565,3.00
